Date/Time,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),Gas:Facility [J](Hourly),Gas:HVAC [J](Hourly),Pumps:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),ElectricityNet:Facility [J](Hourly),ElectricityPurchased:Facility [J](Hourly),Fans:Electricity [J](Hourly) 
 12/17  20:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 12/17  21:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 12/17  22:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 12/17  23:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 12/17  24:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 12/18  01:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/18  02:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/18  03:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/18  04:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/18  05:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/18  06:00:00,0,0,4597009.177,0,0,18840654,45974605.75,238787307,140372265.5,17375408.06,156596639.2,238787307,238787307,16224373.67
 12/18  07:00:00,0,28791800.4,33388809.58,28791800.4,8652.895022,29158128,55621997.01,242164625.8,126495791.1,15707368.89,141668479,242164625.8,242164625.8,15172687.89
 12/18  08:00:00,0,2995499.26,7592508.437,2995499.26,8652.895022,4859688,96493080.11,235185992.3,71529776.75,47122106.66,86702464.64,235185992.3,235185992.3,15172687.89
 12/18  09:00:00,20932609.61,0,4597009.177,0,8652.895022,0,205723914.2,401665394.9,14512710.45,141366320,54566507.76,401665394.9,401665394.9,19121187.7
 12/18  10:00:00,70138878.04,0,4597009.177,0,8652.895022,0,175362538.2,410354942.9,2718811.163,141366320,93617431.76,410354942.9,410354942.9,20759742.56
 12/18  11:00:00,95979452.44,0,4597009.177,0,8652.895022,0,168356066.8,429862581.1,125014.4755,141366320,120131541.3,429862581.1,429862581.1,24027074.42
 12/18  12:00:00,108065440.3,0,4597009.177,0,8652.895022,0,175362538.2,452365976.3,0,141366320,135628465.2,452365976.3,452365976.3,27563024.88
 12/18  13:00:00,114086015.7,0,4597009.177,0,8652.895022,0,178973217.5,464828228,0,141366320,144480037.6,464828228,464828228,30394021.95
 12/18  14:00:00,114805701.1,0,5618840.55,0,8652.895022,0,181201264.4,467711401.7,0,141366320,145135164.5,467711401.7,467711401.7,30329463.32
 12/18  15:00:00,119917353,0,11988417.09,0,8652.895022,0,168356066.8,459860910.6,0,141366320,150129870.9,459860910.6,459860910.6,30212517.9
