Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE1 OFFICE ZN:Zone Air Temperature [C](Hourly),ZONE1 OFFICE ZN:Zone Air Relative Humidity [%](Hourly),ZONE2 FINE STORAGE ZN:Zone Air Temperature [C](Hourly),ZONE2 FINE STORAGE ZN:Zone Air Relative Humidity [%](Hourly),ZONE3 BULK STORAGE ZN:Zone Air Temperature [C](Hourly),ZONE3 BULK STORAGE ZN:Zone Air Relative Humidity [%](Hourly),Electricity:Facility [J](TimeStep),Gas:Facility [J](TimeStep) 
 01/02  05:00:00,,-3.9,15.37614704497814,25.712268794104369,15.076248698532428,27.555214555355037,10.000000000000013,43.78921021834598,12417983.035003325,40716487.20733271 
 01/02  05:15:00,,-3.625,,,,,,,12417983.035003325,38449477.09114516 
 01/02  05:30:00,,-3.3499999999999998,,,,,,,11601608.463639124,42823458.275756318 
 01/02  05:45:00,,-3.0749999999999999,,,,,,,12417983.035003325,49828723.376873899 
 01/02  06:00:00,,-2.8,15.362623020356294,25.15398238137553,15.089964793299297,27.0583132810014,10.0,43.40835707921069,11120971.603153468,15880723.495907749 
 01/02  06:15:00,,-2.925,,,,,,,14248635.10345492,63093410.55205444 
 01/02  06:30:00,,-3.05,,,,,,,14248635.10345492,71418671.87726316 
 01/02  06:45:00,,-3.175,,,,,,,13432260.53209072,40914353.2346622 
 01/02  07:00:00,,-3.3,19.35446761943019,19.27946144731325,15.514714966947615,25.766132527114423,10.000000000000004,43.00192650556581,14248635.10345492,55577563.62929806 
 01/02  07:15:00,,-3.4499999999999999,,,,,,,30058872.11835094,61084978.742413748 
 01/02  07:30:00,,-3.5999999999999998,,,,,,,30058872.11835094,58509273.60612207 
 01/02  07:45:00,,-3.75,,,,,,,24465894.11835094,53855435.57395493 
 01/02  08:00:00,,-3.9,21.044069695908605,16.825797051386745,15.560379779650282,24.073262258703364,10.085806056362444,42.5004738315192,24423975.121921947,50764213.655804369 
 01/02  08:15:00,,-3.4749999999999998,,,,,,,35923880.717783797,46027288.08093641 
 01/02  08:30:00,,-3.05,,,,,,,35923880.717783797,43915649.5282854 
 01/02  08:45:00,,-2.625,,,,,,,35847029.224330637,42253993.56460759 
 01/02  09:00:00,,-2.2,21.10023078499475,16.778245421620409,15.56017128923365,22.17552295535366,10.572990523743254,40.863132488433468,35847029.224330637,40859139.69920401 
 01/02  09:15:00,,-2.075,,,,,,,38930128.49650207,35204850.490582529 
 01/02  09:30:00,,-1.9500000000000002,,,,,,,38930128.49650207,32918500.379808658 
 01/02  09:45:00,,-1.825,,,,,,,38930128.49650207,31560071.369293903 
 01/02  10:00:00,,-1.7,21.10022841871966,17.258375561770444,15.560046309213615,21.36443912817708,11.026345652683581,39.00610665512591,38930128.49650207,30810912.974985444 
 01/02  10:15:00,,-1.7,,,,,,,37041351.39674506,32267810.82045818 
 01/02  10:30:00,,-1.7,,,,,,,34343809.58865776,33210809.33120303 
 01/02  10:45:00,,-1.7,,,,,,,34343809.58865776,33819790.61164814 
 01/02  11:00:00,,-1.7,21.100265055335073,17.540476665593685,15.560059860169425,20.530945507737309,11.251645211756668,37.77872124407725,34343809.58865776,34255714.82237257 
 01/02  11:15:00,,-1.5499999999999999,,,,,,,34343809.58865776,34274861.32989962 
 01/02  11:30:00,,-1.4,,,,,,,34343809.58865776,34231662.31346056 
 01/02  11:45:00,,-1.25,,,,,,,34343809.58865776,33753224.96997422 
 01/02  12:00:00,,-1.1,21.100253513676578,17.756702668627569,15.56002278096433,20.039073261865175,11.228754279418573,37.02084810635342,34343809.58865776,33066527.816504584 
 01/02  12:15:00,,-0.9750000000000001,,,,,,,28577116.902958916,32562922.199678709 
 01/02  12:30:00,,-0.8500000000000001,,,,,,,28577116.902958916,31625881.881660474 
 01/02  12:45:00,,-0.725,,,,,,,28577116.902958916,30912857.757660398 
 01/02  13:00:00,,-0.6,21.10020272402594,17.794755490138209,15.559996288934383,20.041607520787467,11.273515861531826,36.26864375767331,28577116.902958916,30290523.78096377 
 01/02  13:15:00,,-0.44999999999999998,,,,,,,34343809.58865776,29541736.565266059 
 01/02  13:30:00,,-0.3,,,,,,,35092658.156859349,29183567.272577205 
 01/02  13:45:00,,-0.15,,,,,,,35094115.68056386,28977826.35297887 
 01/02  14:00:00,,0.0,21.100198767771894,17.893882981507195,15.55999590414279,20.08030397822074,11.478569331849073,35.24080352471097,35094776.41652769,28845649.606949308 
 01/02  14:15:00,,0.0,,,,,,,35085715.47801762,28683464.560562914 
 01/02  14:30:00,,0.0,,,,,,,34343809.58865776,28554827.605240223 
 01/02  14:45:00,,0.0,,,,,,,35077429.84040139,28737770.480363564 
 01/02  15:00:00,,0.0,21.100210984515756,18.23145629105394,15.559985551093906,20.25298226805348,11.596726178981772,34.43249400164752,37774118.993465278,29098011.811387794 
 01/02  15:15:00,,0.0,,,,,,,39749006.05546889,28774329.821078309 
 01/02  15:30:00,,0.0,,,,,,,39171269.040563028,29660066.59593579 
 01/02  15:45:00,,0.0,,,,,,,39709220.836441349,30498697.337167078 
 01/02  16:00:00,,0.0,21.10021269899731,18.565522839561205,15.55998098477928,20.545431647512197,11.538853649548062,34.10228263451884,39835277.4277437,31324268.22546842 
 01/02  16:15:00,,0.0,,,,,,,36784814.64191183,35378670.50228201 
 01/02  16:30:00,,0.0,,,,,,,36077583.704690109,35808153.9227302 
 01/02  16:45:00,,0.0,,,,,,,36077583.704690109,36034740.064633328 
 01/02  17:00:00,,0.0,21.10021575045321,18.737550742086517,15.559984928268757,20.7728718572046,11.296494306270994,34.08606614286119,41670561.704690109,36525864.162630949 
 01/02  17:15:00,,0.0,,,,,,,30394536.830361744,39419952.35485926 
 01/02  17:30:00,,0.0,,,,,,,30394536.830361744,39597238.257763918 
 01/02  17:45:00,,0.0,,,,,,,30394536.830361744,39598876.21979532 
 01/02  18:00:00,,0.0,21.10017399238285,18.521093802076807,15.559973507978045,21.033994289911584,11.021024402700692,34.27200939168763,30394536.830361744,39537080.32144384 
 01/02  18:15:00,,-0.15,,,,,,,12737987.035174545,18873490.568827727 
 01/02  18:30:00,,-0.3,,,,,,,13062239.89313701,24441775.832958778 
 01/02  18:45:00,,-0.44999999999999998,,,,,,,13062239.89313701,23740699.751656575 
 01/02  19:00:00,,-0.6,17.451931810954237,22.981667174471359,15.475272169253886,21.341040514389709,10.790246703876031,34.56403421833884,13062239.89313701,24021814.827696019 
 01/02  19:15:00,,-0.875,,,,,,,11765228.461287152,0.0 
 01/02  19:30:00,,-1.15,,,,,,,13062239.89313701,24832428.072431297 
 01/02  19:45:00,,-1.4249999999999999,,,,,,,13062239.89313701,19024447.58265094 
 01/02  20:00:00,,-1.7,15.521289736527664,25.615584883257286,15.198541098729269,21.786503323245399,10.584484762840898,34.79802230321408,13062239.89313701,29337707.447383807 
 01/02  20:15:00,,-1.5499999999999999,,,,,,,13062239.89313701,26335436.67153471 
 01/02  20:30:00,,-1.4,,,,,,,12610873.260948619,2776912.503947297 
 01/02  20:45:00,,-1.25,,,,,,,13878614.464501212,25780358.638755889 
