Date/Time,InteriorLights:Electricity [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),ElectricityNet:Facility [J](Hourly),Pumps:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ElectricityPurchased:Facility [J](Hourly),Fans:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),ExteriorLights:Electricity [J](Hourly),Gas:Facility [J](Hourly),Electricity:Facility [J](Hourly) 
 07/08  04:00:00,80771321.23,0,0,865703280.2,3738930010,113313313.6,2096326816,3738930010,270263607.9,804816438.8,153357479.7,9975553.087,3738930010
 07/08  05:00:00,80060378.43,0,0,785413545.5,3579518385,87036458.27,2096326816,3579518385,236178741.5,770881763,170303929.9,9975553.087,3579518385
 07/08  06:00:00,71855472.28,0,0,792484186.5,3603380532,88393623.81,2096326816,3603380532,253207293.8,788140859,176914624.4,9975553.087,3603380532
 07/08  07:00:00,127959796.1,0,0,942499691.2,4696926149,114320144,2227359132,4696926149,378214527.2,1307010660,353829248.7,9975553.087,4696926149
 07/08  08:00:00,126646257.8,0,0,1011255419,4869789766,115555613.9,2227359132,4869789766,393943172.5,1323204231,442286560.9,9975553.087,4869789766
 07/08  09:00:00,379938773.5,0,0,1089568936,5378633096,117890087.1,2358391447,5378633096,437813680.5,1367503780,442286560.9,36193074.34,5378633096
 07/08  10:00:00,379938773.5,0,0,1082186321,5303321565,116988663.4,2358391447,5303321565,503472156.7,1433592772,309600592.6,65254761.51,5303321565
 07/08  11:00:00,379938773.5,0,0,1111619441,5177760373,117082910.1,2358391447,5177760373,525298222.7,1455853706,132685968.3,64902528.5,5177760373
 07/08  12:00:00,379938773.5,0,0,1128341145,5175770702,117203232,2358391447,5175770702,506466524.6,1437464589,132685968.3,66476079.75,5175770702
 07/08  13:00:00,189969386.8,0,0,1102244739,4699636185,116300551.2,2161842974,4699636185,443848955.6,1375219321,132685968.3,65503810.92,4699636185
 07/08  14:00:00,189969386.8,0,0,1128370222,4746717708,116716821.7,2161842974,4746717708,464388725.2,1396098083,132685968.3,64814980.32,4746717708
 07/08  15:00:00,189969386.8,0,0,1152514668,4798061244,117419612.9,2161842974,4798061244,490885023.9,1422515906,132685968.3,49907739.78,4798061244
 07/08  16:00:00,189969386.8,0,0,1216620239,4817254917,120628937.8,2161842974,4817254917,442763800.5,1374289696,132685968.3,48680089.43,4817254917
 07/08  17:00:00,189969386.8,0,0,1223289190,4963565411,123035447.7,2161842974,4963565411,403084209.5,1334677513,309600592.6,36557996.49,4963565411
 07/08  18:00:00,63548552.16,0,0,1105115453,4789761572,117547838.2,2096326816,4789761572,412192741,1344055179,442286560.9,34418525.37,4789761572
 07/08  19:00:00,66146483.8,0,0,960161329.6,4254204507,112521615.1,2096326816,4254204507,419900555.5,958605489.4,442286560.9,23099464.1,4254204507
 07/08  20:00:00,79875606.31,0,0,844015901.1,3986410887,88891419.27,2096326816,3986410887,297961660.5,836754603.3,455140968.4,22396725.2,3986410887
 07/08  21:00:00,80771321.23,0,0,822857681.4,4023067179,88454568.92,2096326816,4023067179,254005587.7,792184310,556452688.2,22447898.78,4023067179
 07/08  22:00:00,80771321.23,0,0,818015327.4,3943843690,88718111.94,2096326816,3943843690,267818221.7,805180889.4,467995376,22543846.61,3943843690
 07/08  23:00:00,80771321.23,0,0,796671232.7,3815015159,86802952.77,2096326816,3815015159,250706256.5,787443980.5,379538063.8,22470343.67,3815015159
 07/08  24:00:00,80771321.23,0,0,897313793.6,3935177798,114429220.9,2096326816,3935177798,296061703.1,832413356.3,291080751.6,22276601.46,3935177798
 07/09  01:00:00,80771321.23,0,0,810736272.2,3594956450,87567274.52,2096326816,3594956450,241998771,778131906.2,153357479.7,9975553.087,3594956450
 07/09  02:00:00,80771321.23,0,0,808445491.4,3599415221,87144720.95,2096326816,3599415221,249170876.4,785134482,153357479.7,9975553.087,3599415221
 07/09  03:00:00,80771321.23,0,0,804461924.9,3601173228,87008024.43,2096326816,3601173228,255049146.2,790910172,153357479.7,9975553.087,3601173228
 07/09  04:00:00,80771321.23,0,0,795006719.8,3626236128,112594265.7,2096326816,3626236128,228985334.1,764743895.7,153357479.7,9975553.087,3626236128
 07/09  05:00:00,80060378.43,0,0,886160146.8,3779396757,113032121.1,2096326816,3779396757,274319173,810170709,170303929.9,9975553.087,3779396757
 07/09  06:00:00,72111975.31,0,0,814825676.9,3678843363,114277813.1,2096326816,3678843363,245192266,781501683,176914624.4,9975553.087,3678843363
 07/09  07:00:00,68790379.04,0,0,829667055.2,3910252031,114767550.2,2096326816,3910252031,287676790.2,824659716.1,353829248.7,9975553.087,3910252031
 07/09  08:00:00,68546361.68,0,0,875146513.1,4078046563,115518583.8,2096326816,4078046563,321027536.4,858878971.9,442286560.9,9975553.087,4078046563
 07/09  09:00:00,68546361.68,0,0,902911663.9,4095321747,114944784.2,2096326816,4095321747,311111368.7,849977579,442286560.9,9975553.087,4095321747
 07/09  10:00:00,68546361.68,0,0,1026315692,4204696250,117339405.3,2096326816,4204696250,427373190.8,967344482.9,309600592.6,9975553.087,4204696250
 07/09  11:00:00,68546361.68,0,0,911241763.1,3858181690,116213713.5,2096326816,3858181690,373972876.2,914888943.8,132685968.3,9975553.087,3858181690
 07/09  12:00:00,68546361.68,0,0,916983063.8,3853981561,116257190.5,2096326816,3853981561,363987969.2,905179069.1,132685968.3,9975553.087,3853981561
 07/09  13:00:00,68546361.68,0,0,929444533.4,3877292114,116452571.8,2096326816,3877292114,374641671.6,916000176.2,132685968.3,22375920.37,3877292114
 07/09  14:00:00,68546361.68,0,0,930580990,3895477740,114309430.8,2096326816,3895477740,393833981.8,935133098.3,132685968.3,22574820.66,3895477740
 07/09  15:00:00,68546361.68,0,0,1066314763,4131480913,117924785.4,2096326816,4131480913,490488027.7,1031226828,132685968.3,22364097.59,4131480913
 07/09  16:00:00,68546361.68,0,0,1014365162,3960421023,120772389.1,2096326816,3960421023,368530134.8,908592721.3,132685968.3,9975553.087,3960421023
