Date/Time,ElectricityNet:Facility [J](Hourly),Heating:Electricity [J](Hourly),Heating:Gas [J](Hourly),Fans:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),WaterSystems:Electricity [J](Hourly),ElectricityPurchased:Facility [J](Hourly),ExteriorLights:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),Gas:Facility [J](Hourly),Gas:HVAC [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Cooling:Electricity [J](Hourly) 
 05/27  03:00:00,10018221.36,0,0,0,3208796.996,2055596.969,10018221.36,2258096.4,0,0,0,0,2495730.997,10018221.36,2055596.969,0
 05/27  04:00:00,10018221.36,0,0,0,3208796.996,2055596.969,10018221.36,2258096.4,0,0,0,0,2495730.997,10018221.36,2055596.969,0
 05/27  05:00:00,9641871.962,0,0,0,3208796.996,2055596.969,9641871.962,1881747,0,0,0,0,2495730.997,9641871.962,2055596.969,0
 05/27  06:00:00,7755440.612,0,0,0,3204112.646,2055596.969,7755440.612,0,0,0,0,0,2495730.997,7755440.612,2055596.969,0
 05/27  07:00:00,7636447.589,0,0,0,3085119.623,2055596.969,7636447.589,0,0,0,0,0,2495730.997,7636447.589,2055596.969,0
 05/27  08:00:00,7394470.629,0,0,0,2843142.663,2055596.969,7394470.629,0,0,0,0,0,2495730.997,7394470.629,2055596.969,0
 05/27  09:00:00,7315530.115,0,0,0,2764202.149,2055596.969,7315530.115,0,0,0,0,0,2495730.997,7315530.115,2055596.969,0
 05/27  10:00:00,7277113.179,0,0,0,2725785.212,2055596.969,7277113.179,0,0,0,0,0,2495730.997,7277113.179,2055596.969,0
 05/27  11:00:00,7234954.028,0,0,0,2683626.062,2055596.969,7234954.028,0,0,0,0,0,2495730.997,7234954.028,2055596.969,0
 05/27  12:00:00,7230269.678,0,0,0,2678941.712,2055596.969,7230269.678,0,0,0,0,0,2495730.997,7230269.678,2055596.969,0
 05/27  13:00:00,7230269.678,0,0,0,2678941.712,2055596.969,7230269.678,0,0,0,0,0,2495730.997,7230269.678,2055596.969,0
 05/27  14:00:00,7249007.078,0,0,0,2697679.112,2055596.969,7249007.078,0,0,0,0,0,2495730.997,7249007.078,2055596.969,0
 05/27  15:00:00,7277113.179,0,0,0,2725785.212,2055596.969,7277113.179,0,0,0,0,0,2495730.997,7277113.179,2055596.969,0
 05/27  16:00:00,7301005.997,0,0,0,2749678.031,2055596.969,7301005.997,0,0,0,0,0,2495730.997,7301005.997,2055596.969,0
 05/27  17:00:00,7420941.156,0,0,0,2869613.19,2055596.969,7420941.156,0,0,0,0,0,2495730.997,7420941.156,2055596.969,0
 05/27  18:00:00,7586084.243,0,0,0,3034756.277,2055596.969,7586084.243,0,0,0,0,0,2495730.997,7586084.243,2055596.969,0
 05/27  19:00:00,7743494.203,0,0,0,3192166.237,2055596.969,7743494.203,0,0,0,0,0,2495730.997,7743494.203,2055596.969,0
 05/27  20:00:00,10569954.96,0,0,0,3208796.996,2055596.969,10569954.96,2809830,0,0,0,0,2495730.997,10569954.96,2055596.969,0
 05/27  21:00:00,11131920.96,0,0,0,3208796.996,2055596.969,11131920.96,3371796,0,0,0,0,2495730.997,11131920.96,2055596.969,0
 05/27  22:00:00,11131920.96,0,0,0,3208796.996,2055596.969,11131920.96,3371796,0,0,0,0,2495730.997,11131920.96,2055596.969,0
 05/27  23:00:00,11131920.96,0,0,0,3208796.996,2055596.969,11131920.96,3371796,0,0,0,0,2495730.997,11131920.96,2055596.969,0
 05/27  24:00:00,11131920.96,0,0,0,3208796.996,2055596.969,11131920.96,3371796,0,0,0,0,2495730.997,11131920.96,2055596.969,0
 05/28  01:00:00,10018221.36,0,0,0,3208796.996,2055596.969,10018221.36,2258096.4,0,0,0,0,2495730.997,10018221.36,2055596.969,0
 05/28  02:00:00,10018221.36,0,0,0,3208796.996,2055596.969,10018221.36,2258096.4,0,0,0,0,2495730.997,10018221.36,2055596.969,0
 05/28  03:00:00,10018221.36,0,0,0,3208796.996,2055596.969,10018221.36,2258096.4,0,0,0,0,2495730.997,10018221.36,2055596.969,0
 05/28  04:00:00,10018221.36,0,0,0,3208796.996,2055596.969,10018221.36,2258096.4,0,0,0,0,2495730.997,10018221.36,2055596.969,0
 05/28  05:00:00,9265522.562,0,0,0,3208796.996,2055596.969,9265522.562,1505397.6,0,0,0,0,2495730.997,9265522.562,2055596.969,0
 05/28  06:00:00,7738809.853,0,0,0,3187481.887,2055596.969,7738809.853,0,0,0,0,0,2495730.997,7738809.853,2055596.969,0
 05/28  07:00:00,7562191.425,0,0,0,3010863.459,2055596.969,7562191.425,0,0,0,0,0,2495730.997,7562191.425,2055596.969,0
 05/28  08:00:00,7377839.87,0,0,0,2826511.904,2055596.969,7377839.87,0,0,0,0,0,2495730.997,7377839.87,2055596.969,0
 05/28  09:00:00,7301005.997,0,0,0,2749678.031,2055596.969,7301005.997,0,0,0,0,0,2495730.997,7301005.997,2055596.969,0
 05/28  10:00:00,7281797.529,0,0,0,2730469.562,2055596.969,7281797.529,0,0,0,0,0,2495730.997,7281797.529,2055596.969,0
 05/28  11:00:00,7239638.378,0,0,0,2688310.412,2055596.969,7239638.378,0,0,0,0,0,2495730.997,7239638.378,2055596.969,0
 05/28  12:00:00,7230269.678,0,0,0,2678941.712,2055596.969,7230269.678,0,0,0,0,0,2495730.997,7230269.678,2055596.969,0
 05/28  13:00:00,7244793.796,0,0,0,2693465.83,2055596.969,7244793.796,0,0,0,0,0,2495730.997,7244793.796,2055596.969,0
 05/28  14:00:00,7167959.923,0,0,0,2616631.957,2055596.969,7167959.923,0,0,0,0,0,2495730.997,7167959.923,2055596.969,0
 05/28  15:00:00,7257211.273,0,0,0,2705883.307,2055596.969,7257211.273,0,0,0,0,0,2495730.997,7257211.273,2055596.969,0
 05/28  16:00:00,7266579.973,0,0,0,2715252.007,2055596.969,7266579.973,0,0,0,0,0,2495730.997,7266579.973,2055596.969,0
 05/28  17:00:00,7386986.201,0,0,0,2835658.234,2055596.969,7386986.201,0,0,0,0,0,2495730.997,7386986.201,2055596.969,0
 05/28  18:00:00,7439927.255,0,0,0,2888599.289,2055596.969,7439927.255,0,0,0,0,0,2495730.997,7439927.255,2055596.969,0
 05/28  19:00:00,7646758.425,0,0,0,3095430.459,2055596.969,7646758.425,0,0,0,0,0,2495730.997,7646758.425,2055596.969,0
 05/28  20:00:00,10569954.96,0,0,0,3208796.996,2055596.969,10569954.96,2809830,0,0,0,0,2495730.997,10569954.96,2055596.969,0
 05/28  21:00:00,11131920.96,0,0,0,3208796.996,2055596.969,11131920.96,3371796,0,0,0,0,2495730.997,11131920.96,2055596.969,0
 05/28  22:00:00,11131920.96,0,0,0,3208796.996,2055596.969,11131920.96,3371796,0,0,0,0,2495730.997,11131920.96,2055596.969,0
 05/28  23:00:00,11131920.96,0,0,0,3208796.996,2055596.969,11131920.96,3371796,0,0,0,0,2495730.997,11131920.96,2055596.969,0
 05/28  24:00:00,11131920.96,0,0,0,3208796.996,2055596.969,11131920.96,3371796,0,0,0,0,2495730.997,11131920.96,2055596.969,0
 05/29  01:00:00,13761817.86,0,0,0,3208796.996,2055596.969,13761817.86,2258096.4,0,0,0,0,6239327.492,13761817.86,2055596.969,0
 05/29  02:00:00,13761817.86,0,0,0,3208796.996,2055596.969,13761817.86,2258096.4,0,0,0,0,6239327.492,13761817.86,2055596.969,0
 05/29  03:00:00,13761817.86,0,0,0,3208796.996,2055596.969,13761817.86,2258096.4,0,0,0,0,6239327.492,13761817.86,2055596.969,0
 05/29  04:00:00,13761817.86,0,0,0,3208796.996,2055596.969,13761817.86,2258096.4,0,0,0,0,6239327.492,13761817.86,2055596.969,0
 05/29  05:00:00,13009119.06,0,0,0,3208796.996,2055596.969,13009119.06,1505397.6,0,0,0,0,6239327.492,13009119.06,2055596.969,0
 05/29  06:00:00,12234931.86,0,0,0,3940007.396,2055596.969,12234931.86,0,0,0,0,0,6239327.492,12234931.86,2055596.969,0
 05/29  07:00:00,18510144.58,0,0,5557023.551,3684400.502,2055596.969,18510144.58,0,0,6530819.612,0,0,6239327.492,18510144.58,2055596.969,973796.0603
 05/29  08:00:00,23219894.25,0,0,5557023.551,6599591.076,2055596.969,23219894.25,0,2.18E-05,8325378.713,0,0,6239327.492,23219894.25,2055596.969,2768355.161
 05/29  09:00:00,43451535.07,0,0,5557023.551,13757811.51,2055596.969,43451535.07,0,2.18E-05,15159471.61,0,0,12478654.98,43451535.07,2055596.969,9602448.055
 05/29  10:00:00,45001386.46,0,0,5557023.551,13505994.78,2055596.969,45001386.46,0,2.18E-05,16961139.72,0,0,12478654.98,45001386.46,2055596.969,11404116.17
 05/29  11:00:00,46104456.72,0,0,5557023.551,13514172.65,2055596.969,46104456.72,0,2.18E-05,18056032.12,0,0,12478654.98,46104456.72,2055596.969,12499008.56
 05/29  12:00:00,46667260.28,0,0,5557023.551,13213157.08,2055596.969,46667260.28,0,2.18E-05,18919851.25,0,0,12478654.98,46667260.28,2055596.969,13362827.7
 05/29  13:00:00,43802038.44,0,0,5557023.551,11809580.15,2055596.969,43802038.44,0,2.18E-05,18206925.64,0,0,11729935.69,43802038.44,2055596.969,12649902.09
 05/29  14:00:00,47411563.31,0,0,5557023.551,13083159.78,2055596.969,47411563.31,0,2.18E-05,19794151.57,0,0,12478654.98,47411563.31,2055596.969,14237128.02
